route_short_name,trip_id
107,7740616
107,7740617
107,7740618
107,7740800
107,7740801
107,7744306
107,7744307
107,7744308
107,7744309
107,7744310
107,7744311
107,7744312
107,7744313
107,7744352
107,7744353
107,7744445
107,7744446
107,7744447
107,7744448
107,7744449
107,7744450
107,7744451
107,7744452
107,7744453
107,7744454
107,7744455
107,7744456
107,7744457
107,7744458
107,7744459
107,7744460
107,7744461
107,7744462
107,7744463
107,7744464
107,7744465
107,7744466
107,7750564
107,7750565
107,7750566
107,7750567
107,7750568
107,7750569
107,7751364
107,7751365
107,7751366
107,7751367
107,7751368
107,7751369
107,7751370
107,7751371
107,7751372
107,7751373
107,7751374
107,7751375
107,7751376
107,7751377
107,7751378
107,7751379
107,7751380
107,7751381
107,7751382
107,7751383
107,7751384
107,7751385
107,7754521
107,7754522
107,7754523
107,7754524
107,7754525
107,7754526
107,7754527
107,7754528
107,7754755
107,7754756
107,7754757
107,7754758
107,7754759
107,7754760
107,7754761
107,7756231
107,7756232
107,7756233
107,7756234
107,7756235
107,7756236
107,7756237
107,7756238
107,7756382
107,7756383
107,7756384
107,7756385
107,7756386
107,7756387
107,7756388
107,7756389
107,7756390
107,7756391
107,7756392
107,7756393
107,7756394
107,7756395
107,7756396
107,7756397
107,7757417
107,7757418
107,7757419
107,7757420
107,7757421
107,7757422
107,7757423
107,7757424
107,7758201
107,7758202
107,7758203
107,7758204
107,7758205
107,7758206
107,7758207
107,7758208
107,7758209
107,7758210
107,7758211
107,7758212
107,7758213
107,7758214
107,7758215
107,7758216
107,7758772
107,7758773
107,7758774
107,7760641
107,7760642
107,7761846
107,7761847
107,7761862
107,7762333
107,7762334
107,7762335
107,7762336
107,7762337
107,7762338
107,7762339
107,7762340
107,7762982
107,7762994
107,7762995
107,7762996
107,7763571
107,7763572
107,7763682
107,7763683
107,7763919
107,7763920
107,7763921
107,7763922
107,7763923
107,7764962
107,7764963
107,7765259
107,7765260
107,7765261
107,7765262
107,7765494
107,7765495
107,7765496
107,7765497
107,7767072
107,7767073
107,7767074
107,7767075
107,7767076
107,7767077
107,7767078
107,7767079
107,7767080
107,7767081
107,7767082
107,7767083
107,7767320
107,7767321
107,7767322
107,7767323
107,7767324
107,7767325
107,7767326
107,7767327
107,7767328
107,7767329
107,7767330
107,7767331
107,7767332
107,7768477
107,7768478
107,7768479
107,7768480
107,7768481
107,7768482
107,7768483
107,7768484
107,7768485
107,7768486
107,7768487
107,7771275
107,7771285
107,7771515
107,7771742
107,7771753
107,7771754
107,7771991
107,7772284
107,7772285
107,7772624
107,7772756
107,7772864
107,7772865
107,7772866
107,7772867
107,7772920
107,7772999
107,7773335
107,7773337
107,7773662
107,7773674
107,7773889
107,7773891
107,7773994
107,7773995
107,7774020
107,7774093
107,7774094
107,7774321
107,7774538
107,7774655
107,7774666
107,7774830
107,7774831
107,7774832
107,7774900
107,7775967
107,7775970
107,7775971
107,7776053
107,7776075
107,7776076
107,7776736
107,7776737
107,7776738
107,7777049
107,7777111
107,7777243
107,7777245
107,7777255
107,7777556
107,7777557
107,7777559
107,7777560
107,7777580
107,7777715
107,7777716
107,7777717
107,7777721
107,7777738
107,7777739
107,7778402
107,7778403
107,7779212
107,7779213
107,7779214
107,7779215
107,7779217
107,7779242
107,7779492
110,7734423
110,7734424
110,7734425
110,7734426
110,7734427
110,7734428
110,7734429
110,7734430
110,7734431
110,7734432
110,7734433
110,7734434
110,7734435
110,7734436
110,7734437
110,7734438
110,7734439
110,7734440
110,7734441
110,7734442
110,7734443
110,7734444
110,7734445
110,7734446
110,7734447
110,7734448
110,7734449
110,7734450
110,7734451
110,7734452
110,7734453
110,7734454
110,7734455
110,7734456
110,7734457
110,7734458
110,7734459
110,7734460
110,7734461
110,7734462
110,7734463
110,7734464
110,7734465
110,7734466
110,7734467
110,7734468
110,7734821
110,7734822
110,7734823
110,7734824
110,7734825
110,7738418
110,7738419
110,7739065
110,7739066
110,7739067
110,7739068
110,7739069
110,7739070
110,7739071
110,7739072
110,7739073
110,7739074
110,7739075
110,7739076
110,7739077
110,7739078
110,7739079
110,7739080
110,7739081
110,7739082
110,7739083
110,7739084
110,7739085
110,7739086
110,7739087
